<p>,"Rated amongst the top ranked innovation-driven private universities and technical institutes in the country, Thapar Institute of Engineering & Technology has been accredited with an 'A+' grade by the National Assessment and Accreditation Council (NAAC). We constantly evolve our teaching methods, and provide quality education to our students, whom we see as unique individuals with different interests and aspirations. We keep the quality of our curriculum, faculty and infrastructure unparalleled, and believe in encouraging thousands of young minds to excel in India and abroad. Our alumni have stood out in varied fields such as business and industry, administrative and regulatory services, research and education, and social and human rights organisations.","http://thapar.edu/aboutus"
<p>,"Our sole mission is to provide a scholarly and professional environment that enables our faculty, students and staff to make lasting contributions to the advancement of learning. We aim to be dynamic, innovative and flexible in devising academic programmes, structures and mechanisms. We believe in carrying out cutting-edge research and development for the benefit of society.","http://thapar.edu/aboutus"
<p>,"Our sole mission is to provide a scholarly and professional environment that enables our faculty, students and staff to make lasting contributions to the advancement of learning. We aim to be dynamic, innovative and flexible in devising academic programmes, structures and mechanisms. We believe in carrying out cutting-edge research and development for the benefit of society.","http://thapar.edu/aboutus/pages/vision"
<p>,"We believe that learning is embedded in the relationships that you form and develop, whether with classmates and faculty members or with your experience of the natural world. Our community is small enough that you can know everyone and be known.","http://thapar.edu/students"
<p>,"Any female employee (faculty, students or staff either adhoc or permanent or contractual or apprentice/probationer/intern) of TIET, Patiala can file a written complaint in the office of Chairperson ICC.","http://thapar.edu/students/pages/internal-complaint-committee"
<p>,"The Programme enables selected faculty to serve as mentors and to remain in close and consistent contact with the students (batch of 25 each) throughout their period of study on campus. The students get a faculty mentor in the very first year itself, as a lot of fresh entrants, struggle with the volume of work involved in their first-year because it is different from the work they were used to at school. The mentors along with Thapar Institute Counseling Cell (TICC), Centre for Training & Development (CTD) and Wardens of hostels emphasize in coordinating and providing support for academic success, identity development, emotional health, leadership development, belonging, and community consciousness.","http://thapar.edu/students/pages/mentor-mentee-initiative"
<p>,"SOMIE (Society of Mechanical and Industrial Engineering) is the society which helps students gain technical and practical knowledge in the field of mechanical engineering. SOMIE also acts as a bridge between students and faculty. SOMIE organizes various events like industrial tours, engine assembly workshops, technical quiz contests, guest lectures etc. Email: somie@thapar.edu SOMIE Website","http://thapar.edu/students/pages/student-societies"
<p>,"All students of various BE engineering disciplines are required to spend a full six month’s semester in the industry completing an industrial project under the joint supervision of industry supervisors and TIETU faculty. Similarly the students of MCA do a System Development Project (SDP) of sixteen weeks duration, the students of M.Sc spend a six weeks summer training & students of MBA spend two months training in the industry. This provides a system of education that formally integrates academic studies with related work experience. More than 150 Industries provided Project slots/Training to our students, CILP assists in arranging project semester slots for various branches of engineering.ME/M.Tech Students from Computer Science, Electrical Instrumentation, Electronics Communication, Biotech & Mechanical Engineering Departments go for One Year Internship.","http://thapar.edu/placements"
<p>,"","http://thapar.edu/misces/pages/faculty-openings"
<p>,"_______________________________________________________________________________________________________________________","http://thapar.edu/misces/pages/faculty-openings"
<p>,"","http://thapar.edu/misces/pages/faculty-openings"
<p>,"","http://thapar.edu/misces/pages/faculty-openings"
<p>,"","http://thapar.edu/misces/pages/faculty-openings"
<p>,"Thapar Institute of Engineering & Technology combines experience with new-age implementation.","http://thapar.edu/misces/pages/faculty-openings"
<p>,"Subscribe To our newsletter","http://thapar.edu/misces/pages/faculty-openings"
<p>,"","http://thapar.edu/misces/pages/faculty-openings"
<p>,"P.O. Box 32, Bhadson Road, Patiala, Punjab, Pin -147004, India","http://thapar.edu/misces/pages/faculty-openings"
<p>,"","http://thapar.edu/misces/pages/faculty-openings"
<p>,"+91-175-2393021","http://thapar.edu/misces/pages/faculty-openings"
<p>,"info@thapar.edu","http://thapar.edu/misces/pages/faculty-openings"
<p>,"Admission Helpline +91-8882134828","http://thapar.edu/misces/pages/faculty-openings"
<p>,"admissions@thapar.edu","http://thapar.edu/misces/pages/faculty-openings"
<p>,"Applications queries +91-8882134828","http://thapar.edu/misces/pages/faculty-openings"
<p>,"technical_support@thapar.edu","http://thapar.edu/misces/pages/faculty-openings"
<p>,"To obtain the students feedback, Thapar Institute of Engineering and Technology has a Students Consultative Committee (SCC) comprising of ex-officio faculty representatives and over 100 student representatives from across the various disciplines. SCC's objective is to assist the administration in preparing and implementing students' welfare plans. SCC meets atleast twice a semester.","http://thapar.edu/misces/pages/student-consultative-committee-scc-2016-17"
<p>,"The Startup Expo 3.0 which is organized by the Entrepreneurship Development Cell, T.I.E.T at Patiala, also provides seed funding as well as incubation space to them in addition to any funding received from angel investors. Mr. Amit Kumar, V.P. of Quikr, while interacting with students and faculty, emphasised on technical innovations. He advised startups to do more research on their domain knowledge and better team work. His speech was so inspirational that he got a standing ovation from the audience. While concluding he appreciated the efforts made by ED Cell TIET, to nurture the potential of budding engineers.","http://thapar.edu/misces/pages/the-startup-expo-3-0"
<p>,"Dr. MD Singh and Dr. Karun Verma expressed gratitude to all the speakers, sponsors, faculty members, guests, participants and team members of ED Cell for their unconditional support to make this event a big success. They promised that ED Cell will keep on encouraging the talented engineers in the field of entrepreneurship.","http://thapar.edu/misces/pages/the-startup-expo-3-0"
<p>,"URJA’18 kicked off on 16th January 2018 with a Triathlon- followed by Orientation of Urja in the COS complex that carried the motives to make the people aware about the extravaganza. Gully cricket,Thapar Fitness League, Kite Flying, Futsal, Mess workers Cricket, NBA Jam and Faculty Cricket were the major highlights from the pre events. We had a large no of participation in all of our pre-events associating workers, students and faculty members.","http://thapar.edu/misces/pages/urja-2018"
